,status_count,follower_count,rank,reposts_count,like_count,follower_count.1,follow_count,comments_count
count,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0
mean,13845.6373585,1162928.37736,28.1011320755,106.706037736,414.277735849,1162928.37736,937.998113208,224.181509434
std,24768.3773514,5367622.29533,11.4624947956,1051.31315539,6474.67300826,5367622.29533,1139.49787591,2578.28324587
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,601.5,292.5,19.0,1.0,3.0,292.5,186.0,1.0
50%,3876.5,8971.0,30.0,3.0,13.0,8971.0,483.5,5.0
75%,15191.0,145757.75,38.0,20.0,62.0,145757.75,1287.5,30.75
max,224175.0,52020485.0,48.0,43258.0,305985.0,52020485.0,9538.0,111714.0
