,status_count,follower_count,rank,reposts_count,like_count,follower_count.1,follow_count,comments_count
count,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0
mean,12328.6719603,978565.3866,27.0019851117,146.369230769,426.512158809,978565.3866,723.394044665,441.231265509
std,23685.0693845,4533978.11478,11.0316415921,1596.05320177,3200.4502831,4533978.11478,921.687310359,6360.49581292
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,383.5,226.0,18.0,1.0,3.0,226.0,183.0,1.0
50%,2366.0,3389.0,28.0,3.0,14.0,3389.0,360.0,6.0
75%,11419.0,161897.5,36.0,13.0,68.5,161897.5,894.0,34.0
max,166488.0,52019552.0,48.0,50448.0,85919.0,52019552.0,7752.0,270187.0
