,status_count,rank,repost_count,follower_count,follow_count,like_count,comment_count
count,2539.0,2539.0,2539.0,2539.0,2539.0,2539.0,2539.0
mean,5609.43245372,22.0555336747,298.372193777,170585.068531,405.838125246,274.441118551,49.0118156755
std,14053.3060524,9.51617530812,12410.2349932,1692478.11463,567.416010062,9046.93881489,1512.8006201
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,306.5,14.0,0.0,83.0,109.0,0.0,0.0
50%,925.0,23.0,0.0,231.0,224.0,2.0,0.0
75%,3600.0,29.0,1.0,1228.0,456.0,5.0,1.0
max,147678.0,46.0,621825.0,51813089.0,9532.0,445655.0,73191.0
