tweetid,status,created_at,userid,nickname,status_count,verified,verified_type,verified_reason,gender,rank,repost_count,follower_count,follow_count,like_count,comment_count
3875414185701964,#塘沽爆炸#祈祷🙏🏻🙏🏻🙏🏻[蠟燭][蠟燭][蠟燭]愿平安 ​,Thu Aug 13 16:23:26 +0800 2015,3875414185701964,FEIFEIANNa,30,-1,30,,f,14,0,75,127,0,0
3875566241394896,#塘沽爆炸##福鼎洪灾#家乡在天津  作为95598客服  每天服务于福建省的客户  这一天它们同时出事儿  应接不暇的赶脚  希望这这一切快点过去  说好的八月要对我们好一点呢 ​,Fri Aug 14 02:27:39 +0800 2015,3875566241394896,_Mr_Queen,130,-1,130,,f,21,0,53,205,0,0
3920498209119355,#热点#【安监总局:天津港爆炸事故仍在调查中】天津港爆炸事故已过去4个月，国家安监总局政策法规司副司长邬燕云15日在北京透露，关于“8.12”天津港爆炸事故，目前国务院事故调查组正在抓紧进行事故调查。事故调查的法定期限是4个月，但是技术鉴定的时间不计算在内。天津港爆炸事故仍在调查中 ​,Wed Dec 16 02:11:15 +0800 2015,3920498209119355,头条新闻,123466,3,123466,新浪新闻中心24小时播报全球重大新闻,f,41,1380,51813089,896,563,888
3875181661853360,8月13日凌晨，天津塘沽某化工厂发生突发爆炸，现场升起巨大的蘑菇云，火光冲天，周围一公里之内均被严重波及，情况紧急，目前泰达医院以经满员。真心希望伤亡再少一点。#塘沽爆炸# #塘沽加油# #献血#估计血库会告急希望大家踊跃献血。 ​,Thu Aug 13 00:59:28 +0800 2015,3875181661853360,空中飞人Flyplus1,67,2,67,浙江关渡网络科技有限公司,f,9,3,111,69,1,2
4007789808710517,天津市塘沽大爆炸一周年，让我们为那些遇难者静静地祈祷吧！🙏🙏🙏 ​,Fri Aug 12 23:16:54 +0800 2016,4007789808710517,尛脾滊,48,-1,48,,f,9,0,19,84,2,0
3918906387118125,@西西西西_西柚 的文章《一封真诚的信》精彩极了，我为我大辽有你这样的姑娘而骄傲  我大辽人。走到哪里都会为自己的家乡喝彩.今天热搜榜#让天津塘沽大爆炸重回热搜榜首# 读了你的长篇微博震憾 被你的爱国精神和文采所折服 如果生在古代你就是替父从军的花木兰 你的微博字里行间都渗透着男子气概 ​,Fri Dec 11 16:45:55 +0800 2015,3918906387118125,老张家那小谁1100,1045,-1,1045,,m,9,3,42,217,1,8
3930757355104527,#天津港事件骗捐案#【正在庭审】案情简介：公诉机关指控被告人杨彩兰利用微博账号发布其父在2015年“8.12”天津港爆炸事故中死亡的虚假信息进行网络诈骗，涉案金额96576.44元。防城港市防城区人民法院@防城法院 正公开审理此案，庭审视频直播间&gt;&gt;&gt;@防城港市防城区人民法院:被告人杨彩兰涉嫌犯诈骗罪一案 ​,Wed Jan 13 09:37:26 +0800 2016,3930757355104527,新浪司法,7021,1,7021,新浪司法频道官方微博,m,33,19,35017,3704,3,12
3875461748558248,从昨天开始就被天津塘沽的事情刷频。希望大家可以好好的。在灾害面前人类都是脆弱的。但正是因为一些可爱的人们的存在，才使得这个家园这么温暖。身在异乡不能帮忙。但只祈求大家平安。#天津塘沽大爆炸##塘沽爆炸# ​,Thu Aug 13 19:32:26 +0800 2015,3875461748558248,马德里鑫星国际旅行社,381,-1,381,,f,17,0,214,207,0,0
4005116216218373,经过了去年塘沽爆炸的事发地，看到了天津的海，坐地铁走街穿巷找杨姐的店，却关门在，遗憾！ ​,Fri Aug 05 14:13:00 +0800 2016,4005116216218373,尘经飞扬,3014,-1,3014,,f,26,0,333,158,1,0
3912368184204106,#滨海资讯# 开发区管委会主任与企业家下午茶会举办 11月20日，“开发区管委会主任与企业家下午茶会”在投资服务中心举办，会议就天津港“8.12”爆炸事故对区内企业生产运营造成的影响以及如何在灾后有效恢复运营生产为题展开交流。开发区管委会主任王盛出席会议，管委会副巡视员..网页链接 ​,Mon Nov 23 15:45:26 +0800 2015,3912368184204106,天津开发区贸易促进中心,3326,1,3326,天津经济技术开发区贸易促进中心官方微博,m,19,0,4809,73,1,0
