tweetid,status,created_at,userid,nickname,status_count,verified,verified_type,verified_reason,gender,rank,repost_count,follower_count,follow_count,like_count,comment_count
3879899045902704,天津事件也已经被人遗忘了吧！至今我都还未知道事情所以然。就✈失联一样#天津塘沽大爆炸##马航飞机失联# ​,Wed Aug 26 01:24:40 +0800 2015,3879899045902704,请叫我__F,49,-1,49,,f,20,0,157,237,6,1
3875445973756942,"为8.12罹难的同胞默哀！ 没有先兆，没有预警，大爆炸袭来了，在灾难面前我们无能为力，泪水不能使逝者重生，我们可以做的还有很多。为表示对遇难者沉重的哀悼以及对伤者的祈福，今天望各位亲停止一切娱乐活动,希望有爱心的国人自觉默哀！大家集体为死难者祈福，愿生者坚强，逝者安息！ ​",Thu Aug 13 18:29:45 +0800 2015,3875445973756942,海边的青蛙321,5927,-1,5927,,f,26,0,2018,1741,0,0
3884965282215340,#天津塘沽大爆炸#现在是9月9日，是天津爆炸发生的第29天，是我开始等待调查结果的第22天。 ​,Wed Sep 09 00:56:05 +0800 2015,3884965282215340,xinnnnnnnnnnnnn,5160,-1,5160,,f,33,0,180,338,7,2
3922175558331500,“8.12天津大爆炸”直接经济损失估算就达700亿。经济工作会议召开前，最高法检联合发布生产安全刑事案件的《解释》：以他人名义投资入股公司、企业充当“隐名持股人”，可被认定为相关犯罪主体。股灾调查也指向利用代理人操盘投入股市，谋取暴利。幕后老板“隐名持股人”该明确追责了。 ​,Sun Dec 20 17:16:26 +0800 2015,3922175558331500,不沉默的大多数,129534,0,129534,媒体人陈默,m,42,9,146682,5215,16,4
3875201714299046,#天津爆炸##塘沽爆炸#我在天津市中心，大家不要担心。不过塘沽那边是天津未来的发展方向，此次爆炸，真是要加油熬过去。 网页链接 ​,Thu Aug 13 02:19:09 +0800 2015,3875201714299046,七色逆了个duang,2990,-1,2990,,m,32,0,392,428,1,2
3887657690455321,#素材抢先看#《作文素材•10上》热度、深度、关注度尽在有关8.12天津塘沽爆炸事件对生命的尊重与责任，第九届茅盾文学奖热搜速用，金宇澄人物素材运用，哈佛招生官青睐怎样的学生，“大自然在说话”相关文本读写运用……具体内容请关注本月上市的《作文素材•10上》。 ​,Wed Sep 16 11:14:45 +0800 2015,3887657690455321,重庆天下图书,3239,2,3239,作文素材 / 高考阅读 / 英语街 / 经典作文 / 最文摘 等发行单位,f,40,3,24667,400,9,0
3882906080486325,央视记者蒋林，8.12天津爆炸现场报道的记者。那次报道，他口才，思路，视角，表达等 都很出色。大洪水，大地震的现场报道造就张泉灵的话。蒋林将是下一个。这就是机会，抓住的是有准备，有能力的人。蒋林！看好你！ ​,Thu Sep 03 08:33:33 +0800 2015,3882906080486325,心情我写,6960,-1,6960,,f,32,2,572,233,13,2
3875419273017028,#塘沽爆炸#究竟是谁之过，将这些无辜百姓与消防士兵的家庭和希望毁灭，真相究竟如何？这些血淋淋的伤痛是否时刻提醒着我们有关部门，一定要查出事故源头，追责到底，提醒每个人安全事故重于天，国家对危险品的管理是否应该升级到重中之重，以防不应该发生的悲剧再度发生！！！一个普通民众的希望。 ​,Thu Aug 13 16:43:39 +0800 2015,3875419273017028,食礼西萃,224,0,224,长沙市芙蓉区食礼西萃法人,f,16,3,264,159,33,0
3875532397782305,突然接到，这个消息也太劲爆了，想代理的来，这时候不加入，还等什么时候。😜 现招代理中。#塘沽爆炸#[蠟燭][蠟燭][蠟燭]祈福 ​,Fri Aug 14 00:13:10 +0800 2015,3875532397782305,苓咕咚,644,-1,644,,f,15,0,260,221,0,0
3879911687648584,天津塘沽大爆炸只是警告，真正的恶魔是核电站。 中国目前有17座核子反应炉在营运，30座在兴建，並计划再建造59座。 德国决定在2022年前关闭所有核电站，而意大利禁止核电站.核能反对者认为，核反应堆的一个主要缺点就是它面临着核事故和恐怖分子袭击的威胁，因大量平民都会受到辐射线的照射。（转） ​,Wed Aug 26 02:14:54 +0800 2015,3879911687648584,爱太远1999,2818,-1,2818,,m,26,1,234,313,3,0
