4007798368412986,"812天津塘沽爆炸一周年。不该忘记，亦无法抹去的记忆。但愿我们的国家在进步。<span class=\""url-icon\""><img src=\""//h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-3725445c33.png\"" style=\""width:1em;height:1em;\""></span><span class=\""url-icon\""><img src=\""//h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-3725445c33.png\"" style=\""width:1em;height:1em;\""></span><span class=\""url-icon\""><img src=\""//h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-3725445c33.png\"" style=\""width:1em;height:1em;\""></span> ​",Fri Aug 12 23:50:56 +0800 2016,4007798368412986,李小y的时光机, 4838, false, -1, 1181, 208,f, 34, 1, 6, 0
3886570988099270,"<a class='k' href='https://m.weibo.cn/k/天津塘沽大爆炸?from=feed'>#天津塘沽大爆炸#</a>看到遇难人数为55人，救援人员牺牲的就有110人，不知道该说些什么，只是觉得，他们不该死的，他们还有自己的人生要去好好过活的<span class=\""url-icon\""><img src=\""//h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-c20969286b.png\"" style=\""width:1em;height:1em;\""></span><span class=\""url-icon\""><img src=\""//h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-c20969286b.png\"" style=\""width:1em;height:1em;\""></span>走好，真的🙏🙏🙏 ​",Sun Sep 13 11:16:35 +0800 2015,3886570988099270,沒關係-是陳翔啊-, 1729, false, -1, 365, 251,f, 31, 0, 8, 0
3879383909072491,<a class='k' href='https://m.weibo.cn/k/天津塘沽大爆炸?from=feed'>#天津塘沽大爆炸#</a>12号晚上11点半的爆炸，今天已经24号了，一开始说要全力配合救援行动，我们信了，说火灾爆炸的原因很复杂需要时间来查证，我们也等着。但是控制企业负责人也很复杂吗？查清楚企业在这次事故中的责任很复杂吗？为什么不让企业负责人出来道歉？ ​,Mon Aug 24 15:17:42 +0800 2015,3879383909072491,废材团队今天改了吗, 540, false, -1, 19, 41,f, 9, 1, 1, 0
3875729168870651,追封烈士，肯定军功，补偿家属，还原真相！<a class='k' href='https://m.weibo.cn/k/塘沽大爆炸?from=feed'>#塘沽大爆炸#</a> ​,Fri Aug 14 13:15:04 +0800 2015,3875729168870651,许卓珺Ariel, 1573, true, 0, 11997, 309,f, 31, 0, 9, 0
3885254743662609,"刚翻译了<a class='k' href='https://m.weibo.cn/k/天津塘沽大爆炸?from=feed'>#天津塘沽大爆炸#</a>居民抗议现场视频，<a class='k' href='https://m.weibo.cn/k/央视?from=feed'>#央视#</a>是不会给画面和声音的。 <a data-url=\""http://t.cn/RLDpoDJ\"" href=\""http://video.weibo.com/show?fid=1034%3A440930fce95d822b7244e03450531469&luicode=20000061&lfid=3885254743662609&featurecode=20000180\"" data-hide=\""\""><span class=\""url-icon\""><img src=\""//h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png\""></span></i><span class=\""surl-text\"">网页链接</a>  ​",Wed Sep 09 20:06:18 +0800 2015,3885254743662609,千里之行000, 143, false, -1, 67, 632,f, 9, 4, 5, 1
3879691268266766,<a class='k' href='https://m.weibo.cn/k/天津塘沽大爆炸?from=feed'>#天津塘沽大爆炸#</a> 希望可以尽快给泰达受害群众一个交代，妥善安置后续事项，任何事都要权衡取舍，扬我国威是好事，可是不能怠慢轻视仅仅13天前发生灾难的灾区 ​,Tue Aug 25 11:39:01 +0800 2015,3879691268266766,s小索, 156, false, -1, 220, 192,f, 15, 0, 7, 0
3877518325063697,真的是太过露骨的官官相护！8.12爆炸出来的不仅是事故更是天津官场的贪腐。当记者问到天津港内是否还有危化企业存在时，天津港总裁竟然回答不清楚需要有关部门来解决！如此的不作为如此的推卸责任，不知中央的巡视组在干嘛！ ​,Wed Aug 19 11:44:31 +0800 2015,3877518325063697,称心岂止太如意, 47, false, -1, 48, 56,m, 14, 0, 1, 0
3875474096735085,<a class='k' href='https://m.weibo.cn/k/塘沽爆炸?from=feed'>#塘沽爆炸#</a>，天地同悲。郭德纲老师向8.12事故中牺牲的消防、武警战士家属捐款100万元。英雄不朽，无限致敬！ ​,Thu Aug 13 20:21:30 +0800 2015,3875474096735085,虚空造化, 485, false, -1, 196, 239,m, 14, 0, 3, 0
3962122029559925,天津港“8.12”爆炸事故损毁车辆已经流入市场，多地开始陆续发现已购车辆是损毁车辆翻新。 ​,Fri Apr 08 22:49:26 +0800 2016,3962122029559925,雨燕的翅膀2011, 24534, true, 0, 20603, 1501,m, 37, 0, 2, 1
3879899045902704,天津事件也已经被人遗忘了吧！至今我都还未知道事情所以然。就✈失联一样<a class='k' href='https://m.weibo.cn/k/天津塘沽大爆炸?from=feed'>#天津塘沽大爆炸#</a><a class='k' href='https://m.weibo.cn/k/马航飞机失联?from=feed'>#马航飞机失联#</a> ​,Wed Aug 26 01:24:40 +0800 2015,3879899045902704,请叫我__F, 49, false, -1, 155, 240,f, 20, 0, 6, 1
